"DE","Year","Country","CO","Numeric"
"Number of prevalent tuberculosis cases ","2009","Sri Lanka",,"22000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Cambodia",,"63"
"Prevalence of tuberculosis (per 100 000 population)","2010","Niue",,"20"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Paraguay",,"3.6"
"Number of prevalent tuberculosis cases ","2007","Barbados",,"25"
"Number of prevalent tuberculosis cases ","2007","Venezuela (Bolivarian Republic of)",,"13000"
"Number of deaths due to tuberculosis excluding HIV","2008","The former Yugoslav Republic of Macedonia",,"48"
"Prevalence of tuberculosis (per 100 000 population)","2007","Venezuela (Bolivarian Republic of)",,"49"
"Prevalence of tuberculosis (per 100 000 population)","2009","Cuba",,"14"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Monaco",,"0.09"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Norway",,"0.17"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Finland",,"0.49"
"Number of deaths due to tuberculosis excluding HIV","2011","Italy",,"280"
"Prevalence of tuberculosis (per 100 000 population)","2009","Latvia",,"63"
"Number of deaths due to tuberculosis excluding HIV","2010","Philippines",,"25000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Netherlands",,"0.11"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Ukraine",,"16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Saint Lucia",,"1.3"
"Number of deaths due to tuberculosis excluding HIV","2012","Sweden",,"13"
"Number of deaths due to tuberculosis excluding HIV","2010","Vanuatu",,"24"
"Number of deaths due to tuberculosis excluding HIV","2010","Saint Kitts and Nevis",,"1.3"
"Number of deaths due to tuberculosis excluding HIV","2008","Peru",,"2100"
"Number of deaths due to tuberculosis excluding HIV","2008","El Salvador",,"98"
"Number of deaths due to tuberculosis excluding HIV","2008","Paraguay",,"230"
"Number of deaths due to tuberculosis excluding HIV","2009","Solomon Islands",,"96"
"Number of prevalent tuberculosis cases ","2011","France",,"8700"
"Prevalence of tuberculosis (per 100 000 population)","2011","Samoa",,"29"
"Number of prevalent tuberculosis cases ","2011","Kenya",,"130000"
