"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Number of prevalent tuberculosis cases ","Published","2009","South-East Asia","Lower-middle-income","Sri Lanka","22000 [11000-38000]","22000","11000","38000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Low-income","Cambodia","63 [29-110]","63","29","110",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Western Pacific","Low-income","Niue","20 [6.1-43]","20","6.1","43",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Americas","Lower-middle-income","Paraguay","3.6 [2.9-4.4]","3.6","2.9","4.4",
"Number of prevalent tuberculosis cases ","Published","2007","Americas","High-income","Barbados","25 [13-40]","25","13","40",
"Number of prevalent tuberculosis cases ","Published","2007","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","13000 [6300-23000]","13000","6300","23000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","Upper-middle-income","The former Yugoslav Republic of Macedonia","48 [47-50]","48","47","50",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","49 [23-84]","49","23","84",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Cuba","14 [6.6-24]","14","6.6","24",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","High-income","Monaco","0.09 [0.01-0.24]","0.09","0.01","0.24",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","High-income","Norway","0.17 [0.17-0.18]","0.17","0.17","0.18",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","Finland","0.49 [0.49-0.5]","0.49","0.49","0.5",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","High-income","Italy","280 [280-280]","280","280","280",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","Upper-middle-income","Latvia","63 [24-121]","63","24","121",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Western Pacific","Lower-middle-income","Philippines","25000 [24000-27000]","25000","24000","27000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","High-income","Netherlands","0.11 [0.11-0.12]","0.11","0.11","0.12",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","Lower-middle-income","Ukraine","16 [15-16]","16","15","16",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Americas","Upper-middle-income","Saint Lucia","1.3 [1.2-1.4]","1.3","1.2","1.4",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Sweden","13 [13-13]","13","13","13",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Western Pacific","Lower-middle-income","Vanuatu","24 [11-43]","24","11","43",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Upper-middle-income","Saint Kitts and Nevis","1.3 [1.2-1.4]","1.3","1.2","1.4",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Americas","Upper-middle-income","Peru","2100 [1600-2600]","2100","1600","2600",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Americas","Lower-middle-income","El Salvador","98 [73-130]","98","73","130",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Americas","Lower-middle-income","Paraguay","230 [180-270]","230","180","270",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","Lower-middle-income","Solomon Islands","96 [41-170]","96","41","170",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","High-income","France","8700 [4500-14000]","8700","4500","14000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Western Pacific","Lower-middle-income","Samoa","29 [14-51]","29","14","51",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Low-income","Kenya","130000 [68000-210000]","130000","68000","210000",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Western Pacific","Lower-middle-income","Samoa","5.9 [2.4-11]","5.9","2.4","11",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Low-income","Zimbabwe","483 [72-1274]","483","72","1274",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","High-income","Germany","0.35 [0.34-0.35]","0.35","0.34","0.35",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Low-income","Mozambique","12000 [700-40000]","12000","700","40000",
"Number of prevalent tuberculosis cases ","Published","2008","Western Pacific","Lower-middle-income","Samoa","50 [23-87]","50","23","87",
